"Date","GOLD","PALL","SILVER"
7/1/1992 0:00:00,343.55,83.00,4.04
7/2/1992 0:00:00,347.10,84.00,4.06
7/3/1992 0:00:00,345.70,84.00,4.04
7/6/1992 0:00:00,346.60,84.00,4.05
7/7/1992 0:00:00,345.60,83.00,3.91
7/8/1992 0:00:00,347.50,85.00,3.90
7/9/1992 0:00:00,347.25,85.00,3.90
7/10/1992 0:00:00,348.70,86.00,3.96
7/13/1992 0:00:00,348.60,87.00,3.93
7/14/1992 0:00:00,349.30,89.00,3.95
7/15/1992 0:00:00,350.90,89.00,3.95
7/16/1992 0:00:00,353.00,89.00,3.93
7/17/1992 0:00:00,356.70,89.00,3.92
7/20/1992 0:00:00,359.30,90.00,3.99
7/21/1992 0:00:00,358.10,89.00,3.95
7/22/1992 0:00:00,358.75,88.00,3.96
7/23/1992 0:00:00,359.50,91.00,4.01
7/24/1992 0:00:00,357.60,90.00,3.98
7/27/1992 0:00:00,358.40,90.00,3.97
7/28/1992 0:00:00,359.60,90.00,3.97
7/29/1992 0:00:00,356.20,89.00,3.94
7/30/1992 0:00:00,356.75,90.00,3.91
7/31/1992 0:00:00,357.85,92.00,3.95
8/3/1992 0:00:00,354.05,89.00,3.94
8/4/1992 0:00:00,352.70,87.00,3.87
8/5/1992 0:00:00,350.75,87.00,3.88
8/6/1992 0:00:00,348.60,87.00,3.90
8/7/1992 0:00:00,349.90,88.00,3.92
8/10/1992 0:00:00,350.35,88.00,3.97
8/11/1992 0:00:00,348.15,87.00,3.94
8/12/1992 0:00:00,346.80,88.00,3.89
8/13/1992 0:00:00,337.30,85.00,3.80
8/14/1992 0:00:00,335.70,83.00,3.81
8/17/1992 0:00:00,337.40,83.00,3.82
8/18/1992 0:00:00,336.10,83.00,3.79
8/19/1992 0:00:00,338.00,84.00,3.80
8/20/1992 0:00:00,337.25,84.00,3.72
8/21/1992 0:00:00,336.90,85.00,3.73
8/24/1992 0:00:00,342.30,86.00,3.76
8/25/1992 0:00:00,341.40,85.00,3.70
8/26/1992 0:00:00,338.50,86.00,3.64
8/27/1992 0:00:00,339.00,86.00,3.69
8/28/1992 0:00:00,340.00,87.00,3.71
9/1/1992 0:00:00,341.70,88.00,3.75
9/2/1992 0:00:00,340.45,88.00,3.72
9/3/1992 0:00:00,338.85,90.00,3.71
9/4/1992 0:00:00,342.05,90.00,3.74
9/7/1992 0:00:00,343.00,91.00,3.72
9/8/1992 0:00:00,342.15,92.00,3.72
9/9/1992 0:00:00,343.30,93.00,3.74
9/10/1992 0:00:00,342.25,92.00,3.73
9/11/1992 0:00:00,340.00,89.00,3.68
9/14/1992 0:00:00,346.25,91.00,3.74
9/15/1992 0:00:00,345.90,91.00,3.78
9/16/1992 0:00:00,349.00,92.00,3.83
9/17/1992 0:00:00,348.40,93.00,3.82
9/18/1992 0:00:00,347.20,91.00,3.80
9/21/1992 0:00:00,349.10,91.00,3.82
9/22/1992 0:00:00,349.15,92.00,3.79
9/23/1992 0:00:00,348.25,92.00,3.83
9/24/1992 0:00:00,348.25,93.00,3.82
9/25/1992 0:00:00,349.70,93.00,3.82
9/28/1992 0:00:00,348.00,93.00,3.80
9/29/1992 0:00:00,347.50,93.00,3.72
9/30/1992 0:00:00,349.00,96.00,3.76
10/1/1992 0:00:00,348.55,97.00,3.75
10/2/1992 0:00:00,348.00,97.00,3.73
10/5/1992 0:00:00,349.50,96.00,3.74
10/6/1992 0:00:00,350.30,96.00,3.75
10/7/1992 0:00:00,350.15,96.00,3.75
10/8/1992 0:00:00,350.50,96.00,3.73
10/9/1992 0:00:00,350.10,95.00,3.74
10/12/1992 0:00:00,346.50,96.00,3.74
10/13/1992 0:00:00,343.75,96.00,3.71
10/14/1992 0:00:00,343.75,93.00,3.70
10/15/1992 0:00:00,341.85,94.00,3.72
10/16/1992 0:00:00,341.75,95.00,3.71
10/19/1992 0:00:00,342.60,96.00,3.72
10/20/1992 0:00:00,343.50,95.00,3.74
10/21/1992 0:00:00,343.75,95.00,3.81
10/22/1992 0:00:00,342.65,94.00,3.80
10/23/1992 0:00:00,342.50,95.00,3.79
10/26/1992 0:00:00,341.45,95.00,3.75
10/27/1992 0:00:00,338.25,95.00,3.75
10/28/1992 0:00:00,338.20,95.00,3.76
10/29/1992 0:00:00,339.50,94.00,3.76
10/30/1992 0:00:00,339.25,94.00,3.76
11/2/1992 0:00:00,339.50,95.00,3.75
11/3/1992 0:00:00,338.60,95.00,3.79
11/4/1992 0:00:00,337.80,95.00,3.79
11/5/1992 0:00:00,338.05,97.00,3.87
11/6/1992 0:00:00,337.10,97.00,3.90
11/9/1992 0:00:00,334.50,95.00,3.85
11/10/1992 0:00:00,330.35,93.00,3.71
11/11/1992 0:00:00,331.15,94.00,3.68
11/12/1992 0:00:00,333.10,94.00,3.68
11/13/1992 0:00:00,334.40,95.00,3.79
11/16/1992 0:00:00,335.40,97.00,3.76
11/17/1992 0:00:00,334.30,96.00,3.75
11/18/1992 0:00:00,335.10,96.00,3.76
11/19/1992 0:00:00,334.25,97.00,3.74
11/20/1992 0:00:00,336.10,96.00,3.77
11/23/1992 0:00:00,334.05,96.00,3.75
11/24/1992 0:00:00,334.30,95.00,3.75
11/25/1992 0:00:00,334.35,94.00,3.76
11/26/1992 0:00:00,334.70,94.00,3.76
11/27/1992 0:00:00,334.05,95.00,3.75
11/30/1992 0:00:00,334.20,96.00,3.73
12/1/1992 0:00:00,334.65,96.00,3.76
12/2/1992 0:00:00,335.65,98.00,3.75
12/3/1992 0:00:00,335.25,103.00,3.75
12/4/1992 0:00:00,335.60,104.00,3.76
12/7/1992 0:00:00,334.60,106.00,3.75
12/8/1992 0:00:00,335.25,110.00,3.75
12/9/1992 0:00:00,333.50,108.00,3.71
12/10/1992 0:00:00,333.70,108.00,3.70
12/11/1992 0:00:00,335.10,111.00,3.72
12/14/1992 0:00:00,335.20,114.00,3.72
12/15/1992 0:00:00,334.90,112.00,3.71
12/16/1992 0:00:00,337.30,111.00,3.71
12/17/1992 0:00:00,338.65,112.00,3.75
12/18/1992 0:00:00,337.00,112.00,3.77
12/21/1992 0:00:00,333.90,107.00,3.75
12/22/1992 0:00:00,332.60,108.00,3.73
12/23/1992 0:00:00,333.00,107.00,3.69
12/24/1992 0:00:00,333.00,108.00,3.68
12/29/1992 0:00:00,332.50,107.00,3.67
12/30/1992 0:00:00,332.90,106.00,3.66
12/31/1992 0:00:00,332.90,107.00,3.66
1/4/1993 0:00:00,328.25,107.00,3.66
1/5/1993 0:00:00,328.60,110.00,3.65
1/6/1993 0:00:00,329.60,112.00,3.70
1/7/1993 0:00:00,329.15,113.00,3.69
1/8/1993 0:00:00,329.10,112.00,3.66
1/11/1993 0:00:00,328.40,111.00,3.66
1/12/1993 0:00:00,329.20,112.00,3.67
1/13/1993 0:00:00,327.55,110.00,3.66
1/14/1993 0:00:00,327.65,111.00,3.69
1/15/1993 0:00:00,327.70,106.00,3.66
1/18/1993 0:00:00,328.15,108.00,3.67
1/19/1993 0:00:00,329.00,110.00,3.68
1/20/1993 0:00:00,329.00,110.00,3.68
1/21/1993 0:00:00,329.75,112.00,3.71
1/22/1993 0:00:00,328.75,108.00,3.71
1/25/1993 0:00:00,328.45,108.00,3.69
1/26/1993 0:00:00,330.90,112.00,3.70
1/27/1993 0:00:00,330.60,110.00,3.67
1/28/1993 0:00:00,329.95,111.00,3.69
1/29/1993 0:00:00,330.45,112.00,3.70
2/1/1993 0:00:00,329.75,111.00,3.66
2/2/1993 0:00:00,329.65,110.00,3.66
2/3/1993 0:00:00,328.20,113.00,3.67
2/4/1993 0:00:00,328.00,112.00,3.67
2/5/1993 0:00:00,327.75,115.00,3.67
2/8/1993 0:00:00,327.95,114.00,3.65
2/9/1993 0:00:00,328.05,115.00,3.68
2/10/1993 0:00:00,329.85,118.00,3.71
2/11/1993 0:00:00,332.00,121.00,3.76
2/12/1993 0:00:00,329.20,116.00,3.74
2/15/1993 0:00:00,328.60,114.00,3.68
2/16/1993 0:00:00,329.45,115.00,3.68
2/17/1993 0:00:00,330.60,116.00,3.70
2/18/1993 0:00:00,329.95,112.00,3.65
2/19/1993 0:00:00,330.80,109.00,3.64
2/22/1993 0:00:00,329.70,102.00,3.58
2/23/1993 0:00:00,329.60,102.00,3.58
2/24/1993 0:00:00,329.90,101.00,3.60
2/25/1993 0:00:00,329.60,100.00,3.58
2/26/1993 0:00:00,327.60,100.00,3.56
3/1/1993 0:00:00,328.50,103.00,3.58
3/2/1993 0:00:00,329.15,106.00,3.58
3/3/1993 0:00:00,329.55,106.00,3.58
3/4/1993 0:00:00,328.05,105.00,3.57
3/5/1993 0:00:00,329.75,105.00,3.58
3/8/1993 0:00:00,327.50,105.00,3.57
3/9/1993 0:00:00,326.95,104.00,3.56
3/10/1993 0:00:00,326.10,104.00,3.57
3/11/1993 0:00:00,326.90,107.00,3.60
3/12/1993 0:00:00,327.00,108.00,3.64
3/15/1993 0:00:00,328.00,107.00,3.62
3/16/1993 0:00:00,329.00,106.00,3.65
3/17/1993 0:00:00,328.75,105.00,3.65
3/18/1993 0:00:00,330.25,105.00,3.64
3/19/1993 0:00:00,331.65,106.00,3.67
3/22/1993 0:00:00,332.60,107.00,3.68
3/23/1993 0:00:00,331.90,106.00,3.66
3/24/1993 0:00:00,331.00,109.00,3.65
3/25/1993 0:00:00,332.60,111.00,3.68
3/26/1993 0:00:00,332.70,110.00,3.71
3/29/1993 0:00:00,331.70,110.00,3.70
3/30/1993 0:00:00,334.40,113.00,3.77
3/31/1993 0:00:00,337.80,113.00,3.89
4/1/1993 0:00:00,336.35,112.00,3.85
4/2/1993 0:00:00,340.10,115.00,3.97
4/5/1993 0:00:00,339.25,115.00,3.85
4/6/1993 0:00:00,338.40,115.00,3.87
4/7/1993 0:00:00,336.75,112.00,3.79
4/8/1993 0:00:00,337.50,112.00,3.87
4/13/1993 0:00:00,336.70,112.00,3.87
4/14/1993 0:00:00,338.25,113.00,3.90
4/15/1993 0:00:00,338.90,114.00,3.93
4/16/1993 0:00:00,337.85,114.00,3.87
4/19/1993 0:00:00,339.60,115.00,3.97
4/20/1993 0:00:00,339.90,115.00,3.95
4/21/1993 0:00:00,339.00,115.00,3.91
4/22/1993 0:00:00,339.30,116.00,3.87
4/23/1993 0:00:00,344.90,119.00,3.93
4/26/1993 0:00:00,349.25,118.00,4.01
4/27/1993 0:00:00,351.40,117.00,4.10
4/28/1993 0:00:00,349.70,117.00,4.04
4/29/1993 0:00:00,355.60,119.00,4.36
4/30/1993 0:00:00,354.30,120.00,4.29
5/4/1993 0:00:00,356.15,117.00,4.27
5/5/1993 0:00:00,354.25,116.00,4.25
5/6/1993 0:00:00,355.50,119.00,4.30
5/7/1993 0:00:00,357.50,122.00,4.36
5/10/1993 0:00:00,356.80,120.00,4.27
5/11/1993 0:00:00,355.35,120.00,4.24
5/12/1993 0:00:00,356.20,121.00,4.23
5/13/1993 0:00:00,367.00,123.00,4.52
5/14/1993 0:00:00,368.20,119.00,4.43
5/17/1993 0:00:00,369.25,121.00,4.46
5/18/1993 0:00:00,367.80,121.00,4.40
5/19/1993 0:00:00,381.90,121.00,4.74
5/20/1993 0:00:00,373.80,119.00,4.51
5/21/1993 0:00:00,373.25,118.00,4.52
5/24/1993 0:00:00,379.25,120.00,4.72
5/25/1993 0:00:00,377.50,119.00,4.52
5/26/1993 0:00:00,374.50,120.00,4.55
5/27/1993 0:00:00,374.75,121.00,4.59
5/28/1993 0:00:00,377.45,123.00,4.71
6/1/1993 0:00:00,377.35,124.00,4.61
6/2/1993 0:00:00,369.00,122.00,4.36
6/3/1993 0:00:00,374.70,123.00,4.38
6/4/1993 0:00:00,377.60,124.00,4.50
6/7/1993 0:00:00,372.80,124.00,4.35
6/8/1993 0:00:00,375.25,126.00,4.39
6/9/1993 0:00:00,371.45,125.00,4.36
6/10/1993 0:00:00,370.80,126.00,4.30
6/11/1993 0:00:00,370.35,128.00,4.31
6/14/1993 0:00:00,363.00,126.00,4.22
6/15/1993 0:00:00,365.35,126.00,4.22
6/16/1993 0:00:00,368.00,128.00,4.31
6/18/1993 0:00:00,370.90,129.00,4.34
6/21/1993 0:00:00,370.55,129.00,4.29
6/22/1993 0:00:00,368.80,128.00,4.29
6/23/1993 0:00:00,367.10,127.00,4.26
6/24/1993 0:00:00,373.90,129.00,4.43
6/25/1993 0:00:00,376.10,130.00,4.40
6/28/1993 0:00:00,375.35,133.00,4.50
6/29/1993 0:00:00,375.35,136.00,4.45
6/30/1993 0:00:00,378.45,140.00,4.57
7/1/1993 0:00:00,379.00,140.00,4.54
7/2/1993 0:00:00,388.10,146.00,4.83
7/5/1993 0:00:00,387.60,138.00,4.88
7/6/1993 0:00:00,391.65,143.00,5.07
7/7/1993 0:00:00,395.80,142.00,5.16
7/8/1993 0:00:00,395.20,139.00,5.11
7/9/1993 0:00:00,393.10,137.00,4.99
7/12/1993 0:00:00,393.40,139.00,5.06
7/13/1993 0:00:00,392.45,138.00,4.97
7/14/1993 0:00:00,394.40,139.00,5.09
7/15/1993 0:00:00,392.70,140.00,4.92
7/16/1993 0:00:00,392.00,142.00,5.04
7/19/1993 0:00:00,394.80,140.00,5.06
7/20/1993 0:00:00,392.10,140.00,5.04
7/21/1993 0:00:00,392.40,139.00,5.05
7/22/1993 0:00:00,389.15,138.00,4.93
7/23/1993 0:00:00,391.30,140.00,5.02
7/26/1993 0:00:00,391.75,140.00,4.96
7/27/1993 0:00:00,392.35,141.00,5.10
7/28/1993 0:00:00,393.15,141.00,5.06
7/29/1993 0:00:00,394.00,143.00,5.14
7/30/1993 0:00:00,401.75,143.00,5.30
8/2/1993 0:00:00,405.60,144.00,5.42
8/3/1993 0:00:00,403.75,144.00,5.37
8/4/1993 0:00:00,402.65,145.00,5.29
8/5/1993 0:00:00,387.75,143.00,5.17
8/6/1993 0:00:00,379.40,139.00,4.82
8/9/1993 0:00:00,381.70,140.00,4.67
8/10/1993 0:00:00,380.35,140.00,4.79
8/11/1993 0:00:00,376.00,142.00,4.78
8/12/1993 0:00:00,376.30,141.00,4.68
8/13/1993 0:00:00,367.60,139.00,4.59
8/16/1993 0:00:00,372.60,140.00,4.77
8/17/1993 0:00:00,371.60,139.00,4.73
8/18/1993 0:00:00,373.70,139.00,4.69
8/19/1993 0:00:00,373.40,139.00,4.72
8/20/1993 0:00:00,373.25,137.00,4.65
8/23/1993 0:00:00,373.10,138.00,4.78
8/24/1993 0:00:00,373.65,136.00,4.76
8/25/1993 0:00:00,371.15,130.00,4.74
8/26/1993 0:00:00,371.25,123.00,4.72
8/27/1993 0:00:00,369.25,121.00,4.68
8/31/1993 0:00:00,371.55,127.00,4.84
9/1/1993 0:00:00,369.05,125.00,4.83
9/2/1993 0:00:00,369.25,123.00,4.72
9/3/1993 0:00:00,362.80,122.00,4.55
9/6/1993 0:00:00,364.25,123.00,4.52
9/7/1993 0:00:00,354.80,120.00,4.50
9/8/1993 0:00:00,351.75,117.00,4.25
9/9/1993 0:00:00,353.30,118.00,4.24
9/10/1993 0:00:00,351.50,121.00,4.27
9/13/1993 0:00:00,344.20,118.00,4.06
9/14/1993 0:00:00,343.70,117.00,3.92
9/15/1993 0:00:00,348.00,118.00,4.03
9/16/1993 0:00:00,352.75,121.00,4.05
9/17/1993 0:00:00,351.85,122.00,4.09
9/20/1993 0:00:00,354.00,122.00,4.11
9/21/1993 0:00:00,354.75,126.00,4.10
9/22/1993 0:00:00,354.40,124.00,4.07
9/23/1993 0:00:00,357.00,126.00,4.03
9/24/1993 0:00:00,357.60,126.00,4.14
9/27/1993 0:00:00,356.65,126.00,4.10
9/28/1993 0:00:00,355.75,125.00,4.04
