"Date","GOLD","PALL","SILVER","USBOND"
8/19/1992 0:00:00,338.00,84.00,3.80,6.59
10/19/1992 0:00:00,342.60,96.00,3.72,6.59
11/19/1992 0:00:00,334.25,97.00,3.74,6.87
1/19/1993 0:00:00,329.00,110.00,3.68,6.60
2/19/1993 0:00:00,330.80,109.00,3.64,6.26
3/19/1993 0:00:00,331.65,106.00,3.67,5.98
4/19/1993 0:00:00,339.60,115.00,3.97,5.97
5/19/1993 0:00:00,381.90,121.00,4.74,6.04
7/19/1993 0:00:00,394.80,140.00,5.06,5.81
8/19/1993 0:00:00,373.40,139.00,4.72,5.68
10/19/1993 0:00:00,366.40,133.00,4.45,5.33
11/19/1993 0:00:00,377.50,130.00,4.69,5.72
1/19/1994 0:00:00,391.70,126.00,5.32,5.75
4/19/1994 0:00:00,373.10,132.00,5.23,6.97
5/19/1994 0:00:00,383.30,137.00,5.57,7.18
7/19/1994 0:00:00,384.65,147.00,5.21,7.30
8/19/1994 0:00:00,381.80,156.00,5.17,7.24
9/19/1994 0:00:00,389.90,154.00,5.43,7.46
10/19/1994 0:00:00,391.10,156.00,5.35,7.74
12/19/1994 0:00:00,379.20,155.00,4.77,7.81
1/19/1995 0:00:00,381.90,157.00,4.92,7.78
4/19/1995 0:00:00,395.55,174.00,5.91,7.06
5/19/1995 0:00:00,383.00,160.00,5.44,6.63
6/19/1995 0:00:00,390.50,162.00,5.43,6.17
7/19/1995 0:00:00,390.45,157.00,5.33,6.28
9/19/1995 0:00:00,384.85,148.00,5.56,6.20
10/19/1995 0:00:00,381.75,138.00,5.34,6.04
12/19/1995 0:00:00,388.10,135.00,5.17,5.71
1/19/1996 0:00:00,399.10,132.00,5.41,5.65
2/19/1996 0:00:00,405.35,143.00,5.70,5.81
3/19/1996 0:00:00,395.10,141.00,5.54,6.27
4/19/1996 0:00:00,390.90,136.00,5.25,6.51
6/19/1996 0:00:00,386.30,133.00,5.21,6.91
7/19/1996 0:00:00,384.50,136.00,5.01,6.87
8/19/1996 0:00:00,386.40,126.00,5.08,6.64
9/19/1996 0:00:00,382.75,122.00,5.05,6.83
11/19/1996 0:00:00,378.20,120.00,4.87,6.20
12/19/1996 0:00:00,369.00,121.00,4.86,6.30
2/19/1997 0:00:00,346.25,139.00,5.20,6.42
3/19/1997 0:00:00,349.10,148.00,5.16,6.69
5/19/1997 0:00:00,340.70,172.00,4.68,6.71
6/19/1997 0:00:00,340.20,210.00,4.72,6.49
8/19/1997 0:00:00,323.45,206.00,4.51,6.30
9/19/1997 0:00:00,322.05,203.00,4.72,6.21
11/19/1997 0:00:00,305.95,222.00,5.12,5.88
12/19/1997 0:00:00,288.90,186.00,6.08,5.81
1/19/1998 0:00:00,287.25,234.00,5.76,5.54
